rate_case,lot_size,material_usd,scrap_credit_usd,machining_usd,inspection_usd,total_usd,material_pct,machining_pct,inspection_pct
low,1,363.49,-22.18,684.24,50.17,1075.72,33.79,63.61,4.66
low,5,363.49,-22.18,480.24,50.17,871.72,41.70,55.09,5.75
low,25,363.49,-22.18,439.44,50.17,830.92,43.75,52.89,6.04
low,100,363.49,-22.18,431.79,50.17,823.27,44.15,52.45,6.09
nominal,1,636.11,-36.96,1022.99,134.58,1756.72,36.21,58.23,7.66
nominal,5,636.11,-36.96,446.99,134.58,1180.72,53.87,37.86,11.40
nominal,25,636.11,-36.96,331.79,134.58,1065.52,59.70,31.14,12.63
nominal,100,636.11,-36.96,310.19,134.58,1043.92,60.93,29.71,12.89
high,1,1090.47,-59.14,2405.54,385.00,3821.87,28.53,62.94,10.07
high,5,1090.47,-59.14,677.54,385.00,2093.87,52.08,32.36,18.39
high,25,1090.47,-59.14,331.94,385.00,1748.27,62.37,18.99,22.02
high,100,1090.47,-59.14,267.14,385.00,1683.47,64.78,15.87,22.87
